entity_id	issue_id	requirement_id
DMB-175	DMB-175	2
DMB-176	DMB-176	3
DMB-177	DMB-177	4
DMB-178	DMB-178	5
DMB-179	DMB-179	6
DMB-180	DMB-180	7
DMB-181	DMB-181	17
DMB-182	DMB-182	18
DMB-183	DMB-183	19
DMB-184	DMB-184	20
DMB-185	DMB-185	21
DMB-186	DMB-186	22
DMB-187	DMB-187	1
DMB-188	DMB-188	12
DMB-189	DMB-189	8
DMB-190	DMB-190	9
DMB-191	DMB-191	15
DMB-192	DMB-192	16
DMB-193	DMB-193	10
DMB-194	DMB-194	11
DMB-195	DMB-195	23
DMB-196	DMB-196	14
DMB-197	DMB-197	24
DMB-198	DMB-198	25
DMB-199	DMB-199	26
DMB-200	DMB-200	27
DMB-201	DMB-201	28
DMB-202	DMB-202	29
