purchase_order_id	title	amount
I100003265	QRW 0986580994	2.00000000
I100003617	VAH M59773-01	2.00000000
I100003617	HJE 152546116	2.00000000
I100003617	VAH M59768-01	2.00000000
I100003654	UTQX 36704	4.00000000
I100003045	KAZ 46622	1.00000000
I100002997	XCP 422 0018 10	8.00000000
I100002997	QHV 70-615-002	12.00000000
I100002997	QHV 70-720-077	2.00000000
IF00327205	UB 87-71782 0501	4.00000000
IF00329948	HZI 4H-048-K	16.00000000
IF00331130	HZI 4HR-001-H80	5.00000000
IF00331130	TAG 027.720	1.00000000
IF00331130	HZI 4HR-001-H50	3.00000000
IF00331130	QHV 30-720-035	5.00000000
IF00331130	UTQX 07788	5.00000000
IF00351431	QHV 30-920-013	1.00000000
IF00359277	QHV 30-922-144	2.00000000
IF00363383	QHV 30-230-029	30.00000000
IF00363383	QHV 30-970-029	4.00000000
IF00365207	UB 06-107000.10	4.00000000
IF00376183	QHV 30-145-016	1.00000000
IF00376183	HZI 410345-K	2.00000000
IF00394053	SED 431-1126A-AS-TB	1.00000000
IF00394053	UTQX 32672	1.00000000
IF00394053	QHV 30-807-001	2.00000000
IF00394053	QHV 30-700-350	3.00000000
IF00394053	QHV 30-145-001	5.00000000
IF00394053	QHV 30-340-014	2.00000000
IF00394053	QHV 30-605-003	8.00000000
IF00394053	QHV 30-123-009	1.00000000
IF00394053	VH 6602-6603	1.00000000
IF00394053	IJG 522-1501	1.00000000
IF00394053	HZI 045891	2.00000000
IF00394053	HJE 102511108	1.00000000
IF00394053	QHV 30-800-001	2.00000000
IF00394053	QHV 30-800-009	2.00000000
IF00394053	QHV 30-116-051	1.00000000
IF00394053	QHV 30-806-001	1.00000000
IF00394053	QHV 30-720-133	1.00000000
IF00394053	BTI 04-0618	2.00000000
IF00394053	QHV 30-700-034	1.00000000
IF00394053	QHV 30-140-004	5.00000000
IF00394053	HZI 047600-K	2.00000000
IF00394053	AJZ 627 3040 09	1.00000000
IF00394053	HZI 040819	1.00000000
IF00394053	QHV 30-800-010	2.00000000
IF00394053	QHV 30-810-006	5.00000000
IF00398398	QHV 30-996-006	1.00000000
I100003958	STA IR2529	1.00000000
I100003447	AJZ 624 3131 00	1.00000000
I100003660	QRW U009S02799	1.00000000
I100003838	SED 442-1148A-ASTB1	1.00000000
I100003838	SED 442-1148G-ASTB1	1.00000000
I100003885	SED 442-1148G-ASTB1	1.00000000
I100003885	SED 442-1148A-ASTB1	1.00000000
I100003915	UB W1294/6 025	3.00000000
I100003915	UB W1294/6 HIS	5.00000000
IF00325197	HRW 313283	4.00000000
IF00326016	QHV 30-520-027	1.00000000
IF00326016	QHV 30-900-023	1.00000000
IF00326016	UB 87-72707 HIS	4.00000000
IF00326016	UB 08-141300.00	4.00000000
IF00326016	SED 431-1128A-AS-TB	1.00000000
IF00326016	QHV 30-995-003	100.00000000
IF00326016	SED 431-1128G-AS-TB	1.00000000
IF00326016	SED 431-1153A-AS-TB	1.00000000
IF00326016	TAG 100.410	2.00000000
IF00326016	UB 06-135300.00	4.00000000
IF00326016	QHV 30-921-006	5.00000000
IF00326016	QHV 30-921-007	3.00000000
IF00326989	QHV 30-805-020	1.00000000
IF00328069	SED 431-1101A-AS	2.00000000
IF00328069	SED 431-1101G-AS	2.00000000
IF00333201	QHV 30-934-002	3.00000000
IF00342267	QHV 30-500-005	1.00000000
IF00346823	UB W1066/5 HIS	3.00000000
IF00355743	BTI 04-0605	1.00000000
IF00355743	UTQX 24211	3.00000000
IF00355743	UTQX 19832	1.00000000
IF00355743	QHV 30-970-032	6.00000000
IF00355743	UTQX 24211	5.00000000
IF00359639	BTI 04-0081	3.00000000
IF00360890	1574.WA	2.00000000
IF00363480	QHV 30-126-001	3.00000000
IF00363480	TAG 726.960	2.00000000
IF00363480	QHV 30-315-029	1.00000000
IF00363480	QHV 30-810-022	15.00000000
IF00363480	HRW 290685	1.00000000
IF00363480	QHV 30-720-055	5.00000000
IF00363480	U 96BU 6R342 SP	6.00000000
IF00363480	VH 1533/1-1534/1	1.00000000
IF00370110	HRW 230835	4.00000000
IF00374101	QHV 30-980-020	10.00000000
IF00374101	QHV 30-971-002	5.00000000
IF00374526	0209.RU	3.00000000
IF00381102	QHV 30-310-130	1.00000000
IF00381254	UB 87-72777 050	4.00000000
I100003924	QJV EP 10107	2.00000000
I100003924	HZI 410408-K	6.00000000
I100004000	SED 441-1139A-AS-TB	1.00000000
I100004000	SED 441-1139G-AS-TB	1.00000000
IF00331962	U 98BU 12P699 QP	1.00000000
IF00334616	QHV 30-860-022	4.00000000
IF00334616	QHV 30-995-002	100.00000000
IF00334616	HZI 4H-027-K	80.00000000
IF00334616	QHV 30-115-008	3.00000000
IF00358969	PG 980	2.00000000
IF00365052	QWG 8BD 376 797-071	1.00000000
IF00366576	UB 06-786307.20	4.00000000
IF00366576	HPW ZA 4285 025	1.00000000
IF00366576	U 96BU 6R342 SP	14.00000000
IF00368845	UIT OP32011.4.7	10.00000000
IF00370706	SED 431-1126A-AS-TB	2.00000000
IF00370706	HZI 040747-K	9.00000000
IF00370706	QHV 30-720-219	1.00000000
IF00370706	UB 06-786300.20	4.00000000
IF00370706	QHV 30-924-052	3.00000000
IF00370706	QHV 30-350-009	1.00000000
IF00370706	SED 431-1126G-AS-TB	3.00000000
IF00373139	HXA HQ 2615 R	5.00000000
IF00373139	HXA HH 1 I	10.00000000
IF00373139	HXA HQ 2617 P	5.00000000
IF00378499	QHV 30-805-018	4.00000000
IF00381466	QHV 30-725-081	2.00000000
