example_en	example_tr
I know that I'm lazy.	Tembel olduğumu biliyorum.
I know that I'm safe.	Güvende olduğumu biliyorum.
I know that I'm crazy.	Ben deli olduğumu biliyorum.
I know that I'm dying.	Ölmekte olduğumu biliyorum.
I know that I'm ready.	Hazır olduğumu biliyorum.
I know that I'm right.	Haklı olduğumu biliyorum.
I know that I did that.	Bunu yaptığımı biliyorum.
I know that I'm biased.	Ben önyargılı olduğumu biliyorum.
I know that I'm stingy.	Paragöz olduğumu biliyorum.
I know that I can't win.	Kazanamayacağımı biliyorum.
I know that I was wrong.	Hatalı olduğumu biliyorum.
I know that I'm adopted.	Evlat edinilmiş olduğumu biliyorum.
I know that I'm correct.	Doğru olduğumu biliyorum.
I know that she is cute.	Şirin olduğunu biliyorum.
I know that I don't know.	Bilmediğimi biliyorum.
I know that I'm annoying.	Can sıkıcı olduğumu biliyorum.
I know that I can do that.	Bunu yapabileceğimi biliyorum.
I know that I do not know.	Bilmediğimi biliyorum.
I know that I'll die soon.	Yakında öleceğimi biliyorum.
I know that I'm not ready.	Hazır olmadığımı biliyorum.
I know that I can beat Tom.	Tom'u yenebileceğimi biliyorum.
I know that I was mistaken.	Hatalı olduğumu biliyorum.
I know that I'm overweight.	Aşırı kilolu olduğumu biliyorum.
I know that she is Spanish.	Ben onun İspanyol olduğunu biliyorum.
I know that I won't like it.	Bunu sevmeyeceğimi biliyorum.
I know that I didn't do that.	Onu yapmadığımı biliyorum.
I know that she is beautiful.	Onun güzel olduğunu biliyorum.
I know that she has been busy.	Onun meşgul olduğunu biliyorum.
I know that I can count on Tom.	Tom'a güvenebileceğimi biliyorum.
I know that I am a good teacher.	Ben iyi bir öğretmen olduğumu biliyorum.
I know that I did nothing wrong.	Yanlış bir şey yapmadığımı biliyorum.
I know that I don't deserve you.	Ben seni haketmediğimi biliyorum.
I know that I have to be better.	Daha iyi olmak zorunda olduğumu biliyorum.
I know that I shouldn't be here.	Burada olmamam gerektiğini biliyorum.
I know that you know that I know.	Benim bildiğimi bildiğini biliyorum.
I know that I should be sleeping now.	Şimdi uyuyor olmam gerektiğini biliyorum.
I know that she doesn't know who I am.	Ben onun kim olduğumu bilmediğini biliyorum.
I know that I should not tell him a lie.	Ona yalan söylememem gerektiğini biliyorum.
I think that I'll do that.	Sanırım onu yapacağım.
I think that she's honest.	Bence o dürüsttür.
I think that I can do that.	Sanırım bunu yapabilirim.
I think that I'll help Tom.	Sanırım Tom'a yardım edeceğim.
I think that she will come.	Bence o gelecek.
I think that I should leave.	Sanırım gitmeliyim.
I think that she won't come.	Sanırım o gelmeyecek.
I think that I'm a lucky guy.	Şanslı bir adam olduğumu düşünüyorum.
I think that I came too early.	Çok erken geldiğimi düşünüyorum.
I think that I drank too much.	Galiba çok fazla içtim.
I think that she will not come.	Ben onun gelmeyeceğini düşünüyorum.
I think that I'll do that today.	Onu bugün yapacağımı düşünüyorum.
I think that she knows the truth.	Sanırım o, gerçeği biliyor.
I think that I'm going to do that.	Sanırım onu yapacağım.
I think that I'm going to help Tom.	Sanırım Tom'a yardım edeceğim.
I think that I should let Tom leave.	Sanırım Tom'un gitmesine izin vermeliyim.
I think that I'll leave early today.	Sanırım bugün erken ayrılacağım.
I think that I soon will go to sleep.	Yakında uyuyacağımı düşünüyorum.
I think that I was followed by someone.	Biri tarafından takip edildiğimi düşünüyorum.
I think that I'll be in Boston by 2:30.	2.30'a kadar Boston'da olacağımı düşünüyorum.
I think that I'll play tennis with Tom.	Sanırım Tom ile tenis oynayacağım.
I think that I'm doing something wrong.	Sanırım yanlış bir şey yapıyorum.
He said that I must go.	O, gitmem gerektiğini söyledi.
I said that I liked Tom.	Tom'u sevdiğimi söyledim.
I said that I'd do that.	Bunu yapacağımı söyledim.
She said that she was ill.	O, hasta olduğunu söyledi.
Tom said that I had to go.	Tom gitmek zorunda olduğumuzu söyledi.
I said that I was confused.	Şaşkın olduğumu söyledim.
Tom said that I look bored.	Tom sıkılmış göründüğümü söyledi.
Tom said that I look tired.	Tom yorgun göründüğümü söyledi.
Tom said that I should win.	Tom kazanmam gerektiğini söyledi.
She said that she was happy.	O, mutlu olduğunu söyledi.
He said that I must go there.	O, oraya gitmem gerektiğini söyledi.
I said that I would help Tom.	Tom'a yardım edeceğimi söyledim.
I said that I would help him.	Ona yardım edeceğimi söyledim.
Tom said that I looked awful.	Tom korkunç göründüğümü söyledi.
Tom said that I should leave.	Tom gitmem gerektiğini söyledi.
Tom said that I was reckless.	Tom pervasız olduğumu söyledi.
Tom said that I can't come in.	Tom içeri giremeyeceğimi söyledi.
Tom said that I sounded tired.	Tom yorgun göründüğümü söyledi.
Tom said that I was too noisy.	Tom çok gürültülü olduğumu söyledi.
Everyone said that I was wrong.	Herkes hatalı olduğumu söyledi.
Tom said that I should do that.	Tom bunu yapmam gerektiğini söyledi.
Tom said that I talked to much.	Tom çok fazla konuştuğumu söyledi.
I said that I wanted to do that.	Bunu yapmak istediğimi söyledim.
She said that she had been happy.	O, mutlu olduğunu söyledi.
Tom said that I looked miserable.	Tom sefil göründüğümü söyledi.
Tom said that I shouldn't do that.	Tom bunu yapmamam gerektiğini söyledi.
Tom said he knew that I was coming.	Tom geldiğimi bildiğini söyledi.
Tom said he knew that I would come.	Tom geleceğimi bildiğini söyledi.
She said that I should quit smoking.	O, sigarayı bırakmam gerektiğini söyledi.
She said that she's living in Osaka.	O, Osaka'da yaşıyor olduğunu söyledi.
Tom said he thought that I was dead.	Tom öldüğümü düşündüğünü söyledi.
Tom said that I had to speak French.	Tom, Fransızca konuşmam gerektiğini söyledi.
You say that I'll do that.	Bunu yapacağımı söylüyorsun.
She says that she is happy.	O mutlu olduğunu söylüyor.
She says that she's lonely.	O yalnız olduğunu söylüyor.
They say that Isabela died.	Onlar İsabela'nın öldüğünü söylüyorlar.
Tom says that I'm annoying.	Tom can sıkıcı olduğumu söylüyor.
They say that I'm an old woman.	Onlar benim yaşlı bir kadın olduğumu söylüyorlar.
They say that she quit her job.	Onlar onun işini bıraktığını söylüyorlar.
People say that I look like Tom.	İnsanlar Tom'a benzediğimi söylüyorlar.
She says that she likes flowers.	O, çiçekleri sevdiğini söylüyor.
They say that she is in love with him.	Onun ona âşık olduğunu söylüyorlar.
They say that she was born in Germany.	Onun Almanya'da doğduğunu söylüyorlar.
They say that she'll get married soon.	Onun yakında evleneceğini söylüyorlar.
Tom says he sees things that I can't see.	Tom göremediğim şeyleri gördüğünü söyler.
Tom says that I always talk about myself.	Tom hep kendim hakkımda konuştuğumu söylüyor.
I told Tom that I'd do it.	Onu yapacağımı Tom'a söyledim.
Tom told me that I'm last.	Tom bana sonuncu olduğumu söyledi.
Tom told me that I'm safe.	Tom güvende olduğumu söyledi.
Tom told me that I'm slow.	Tom bana yavaş olduğumu söyledi.
Who told you that I snore?	Kim sana horladığımı söyledi?
I told Tom that I was busy.	Tom'a meşgul olduğumu söyledim.
